filename,width,height,class,xmin,ymin,xmax,ymax
desk%20(2).jpg,187,187,Desk,5.995624693100061,36.13220419587388,187.0,185.5209104031493
pins_(1).jpg,225,225,bowling pins,44.7039428510164,9.769745876914577,196.28290377165143,225.00000000000003
pins_(5).png,100,100,bowling pins,3.55263258281507,13.289471676475124,98.55264362535979,100.0
printer%20(2).jpg,100,100,printer,0.0,5.131580955103824,100.0,86.1842105263158
tv_screen%20(4).jpg,187,187,Tv screen,0.0,25.343428561561993,187.00000000000003,169.53028568468602
oven%20(12).jpg,301,167,oven,86.73553235907305,7.05304460694804,207.13553840235662,161.20686060437086
printer%20(45).jpg,212,119,printer,4.742107391357422,24.167495727539062,103.48946942781147,105.92748718261718
printer%20(45).jpg,212,119,printer,113.67105263157895,19.6875,208.37367569772817,112.6475128173828
keyboard%20(37).jpg,364,138,keyboard,6.2263121353952515,3.40499267578125,364.0,138.0
rack%20(42).jpg,262,193,Bowling rack,0.0,10.662388392857144,82.39211052342465,80.96953650883266
rack%20(42).jpg,262,193,Bowling rack,0.0,13.785714285714286,262.0,191.25525079454695
mirror%20(37).jpg,187,187,mirror,4.182896614074707,2.21447743867573,187.00000000000003,185.27763908787782
printer%20(25).jpg,100,100,printer,0.0,6.184216549521999,100.0,100.0
printer%20(4).jpg,100,100,printer,0.0,2.5000020077354033,100.0,100.00000000000001
night_table%20(12).jpg,100,100,night table,2.2368431091308594,1.7105303312602798,100.0,99.07895138389186
oven%20(16).jpg,225,225,oven,24.572366162350306,0.8881669295461555,203.98026767529942,224.11183307045386
mirror%20(2).jpg,187,187,mirror,2.7065845790662264,42.0749962455348,187.00000000000003,145.9092180352462
oven%20(22).jpg,177,284,oven,3.260529869481137,1.2148618854460158,175.83552631578948,277.5983606557376
oven%20(37).jpg,100,100,oven,3.2894736842105265,1.4473664133172288,96.18420851858039,100.0
printer%20(12).jpg,100,100,printer,0.0,16.1842145417866,98.28947468807823,67.50000401547081
keyboard%20(12).jpg,285,177,keyboard,1.1249971389770508,68.5523923843626,281.6250228881836,173.44125269329737
mirror%20(15).jpg,183,275,sink,68.625,136.25136026929192,183.0,197.38923788592382
mirror%20(15).jpg,183,275,mirror,81.62763525310315,36.1200729136394,122.0802741803621,131.4373558929243
mirror%20(15).jpg,183,275,mirror,115.33816156889263,8.198851203501095,178.90658629568,136.25136026929192
mirror%20(42).jpg,163,187,mirror,5.7907911099885645,1.922238849978734,153.34868421052633,187.0
night_table%20(9).jpg,225,225,night table,31.085526315789476,32.26974135950992,197.4671188153719,201.0197639465332
oven%20(5).jpg,187,187,oven,26.327642842342986,0.0,159.6881616492021,187.00000000000003
printer%20(16)%20-%20Copy.jpg,299,168,printer,12.982891735277677,8.068445038377192,292.31185411152086,168.0
printer%20(43).jpg,212,119,printer,0.0,6.947491455078123,152.7236842105263,105.50750427246093
pins_(19).jpg,100,100,bowling pins,3.026314785605983,7.500006023206209,98.0263157894737,91.44736842105264
night_table%20(40).jpg,187,187,dresser cabinet,7.627637210645174,1.7223796844482424,187.0,182.8171127720883
